EmployeeID,FullName,Department,Salary,Hire Date,Email,PhoneNumber
64,,Finance,66725,2020-03-22,alex.j@example.com,
65,,Finance,111396,2020-03-29,bethany.c@company.com,555-9101
66,,Finance,101226,2020-04-05,charles.l@enterprise.org,Not Provided
67,Diana Morris,,79402,2020-04-12,,555-9101
68,Diana Morris,HR,54263,2020-04-19,bethany.c@company.com,
69,,,96828,2020-04-26,,555-5678
70,Bethany Cooper,,97924,2020-05-03,charles.l@enterprise.org,555-1234
71,Charles Lee,Finance,109052,2020-05-10,alex.j@example.com,NaN
72,Charles Lee,IT,61664,2020-05-17,charles.l@enterprise.org,Not Provided
73,Charles Lee,HR,85737,2020-05-24,bethany.c@company.com,555-9101
74,Diana Morris,Finance,79373,2020-05-31,alex.j@example.com,Not Provided
75,Diana Morris,IT,86397,2020-06-07,bethany.c@company.com,
76,Bethany Cooper,IT,88709,2020-06-14,bethany.c@company.com,
77,Charles Lee,Marketing,111120,2020-06-21,charles.l@enterprise.org,555-9101
78,Charles Lee,HR,69250,2020-06-28,bethany.c@company.com,
79,,IT,71172,2020-07-05,charles.l@enterprise.org,555-5678
80,Diana Morris,Finance,61555,2020-07-12,alex.j@example.com,555-9101
81,Charles Lee,Marketing,103276,2020-07-19,charles.l@enterprise.org,5555678
82,Bethany Cooper,HR,107492,2020-07-26,alex.j@example.com,555-1234
83,Bethany Cooper,,103002,2020-08-02,charles.l@enterprise.org,555-5678
84,Charles Lee,Finance,74762,2020-08-09,,555-1234
85,Diana Morris,IT,61046,2020-08-16,,555-1234
86,Bethany Cooper,IT,78769,2020-08-23,bethany.c@company.com,555-5678
87,,Finance,103302,2020-08-30,charles.l@enterprise.org,555-9101
88,Bethany Cooper,IT,73150,2020-09-06,charles.l@enterprise.org,
89,Alex Johnson,Marketing,118247,2020-09-13,alex.j@example.com,
90,Alex Johnson,HR,54853,2020-09-20,bethany.c@company.com,555-1234
91,Diana Morris,Marketing,71792,2020-09-27,charles.l@enterprise.org,5551234
92,Charles Lee,IT,109129,2020-10-04,bethany.c@company.com,555-9101
93,Diana Morris,,117298,2020-10-11,,Not Provided
94,Diana Morris,HR,81987,2020-10-18,charles.l@enterprise.org,555-5678
95,Diana Morris,HR,65850,2020-10-25,charles.l@enterprise.org,555-1234
96,Diana Morris,Finance,62112,2020-11-01,bethany.c@company.com,
97,,Finance,74058,2020-11-08,charles.l@enterprise.org,555-9101
98,,,95420,2020-11-15,bethany.c@company.com,555-5678
99,Bethany Cooper,HR,88890,2020-11-22,charles.l@enterprise.org,555-9101
100,Alex Johnson,,116017,2020-11-29,alex.j@example.com,555-5678
